scenario,period,offset,n_cycles,total_score,planarity,quarter_anchor_orth_ratio,anchor_norm,fraction_samples_assigned,min_samples_per_cycle,coverage_duration_fraction,candidate_source,winding_median_abs,winding_min_abs,winding_max_abs,fraction_single_lap_cycles,winding_valid
clean_complete_cycles,1.0016666666666665,0.9703645833333332,5,0.999928909921529,1.0,0.9999965726316177,0.9996496906602186,0.831946755407654,100,0.8333333333333333,periodogram,0.9953647026854657,0.9920306175204692,0.9986984678300951,1.0,True
clean_complete_cycles,1.0016666666666665,0.6103906249999999,5,0.9999286449164063,1.0,0.9999965726163993,0.9996483656574326,0.831946755407654,100,0.8333333333333333,periodogram,0.99539075277609,0.9920566587703727,0.9987245039033745,1.0,True
clean_complete_cycles,1.0016666666666665,0.2504166666666666,5,0.9999283852645999,1.0,0.9999965726015476,0.9996470674206781,0.831946755407654,100,0.8333333333333333,periodogram,0.9954168028457775,0.9920827001778949,0.9987505397772716,1.0,True
clean_complete_cycles,1.0016666666666665,0.8608072916666665,5,0.9999251328985981,1.0,0.9999965724227703,0.9996308058588349,0.831946755407654,100,0.8333333333333333,periodogram,0.9958075504295727,0.9924733392575605,0.9991410530140823,1.0,True
clean_complete_cycles,1.0016666666666665,0.5008333333333332,5,0.9999249589023933,1.0,0.9999965724137854,0.9996299358912882,0.831946755407654,100,0.8333333333333333,periodogram,0.9958335999744546,0.9924993829974955,0.9991670855087174,1.0,True
clean_complete_cycles,1.0016666666666665,0.14085937499999998,5,0.9999247902598005,1.0,0.9999965724051672,0.9996290926912519,0.831946755407654,100,0.8333333333333333,periodogram,0.9958596494746728,0.9925254268713616,0.9991931177803286,1.0,True
clean_complete_cycles,1.0016666666666665,0.7512499999999999,5,0.9999229030625394,1.0,0.9999965723198985,0.9996196568328495,0.831946755407654,100,0.8333333333333333,periodogram,0.996250385669402,0.9929161001032352,0.9995835741467171,1.0,True
clean_complete_cycles,1.0016666666666665,0.3912760416666666,5,0.9999228200792886,1.0,0.9999965723171478,0.9996192419207212,0.831946755407654,100,0.8333333333333333,periodogram,0.9962764342652213,0.9929421459304203,0.999609602660968,1.0,True
clean_complete_cycles,1.0016666666666665,0.03130208333333333,5,0.9999227424498215,1.0,0.9999965723147639,0.9996188537769616,0.831946755407654,100,0.8333333333333333,periodogram,0.9963024827926547,0.9929681918678372,0.9996356309285773,1.0,True
clean_complete_cycles,2.98,0.0,2,0.9999129291051219,1.0,0.9997097636837393,1.006678524885636,0.9916805324459235,298,0.9916805324459235,autocorrelation,2.98013311764129,2.9801331176412895,2.9801331176412904,0.0,False
noisy_complete_cycles,1.0016666666666665,0.32867187499999995,5,0.9995410614970934,0.9991202584281069,0.9999364409434663,1.0129981137046193,0.8336106489184693,100,0.8333333333333333,periodogram,0.9950690944098913,0.9822312089362953,0.9995471173142229,1.0,True
noisy_complete_cycles,1.0016666666666665,0.5321354166666665,5,0.9995230584865554,0.9991006009623442,0.9999091933512778,1.0127680797186835,0.8336106489184693,100,0.8333333333333333,periodogram,1.0010762983569703,1.0002244563006182,1.0025468911600748,1.0,True
noisy_complete_cycles,1.0016666666666665,0.2504166666666666,5,0.9995194618997552,0.9991188874920699,0.9998667271790673,1.0186500766442905,0.831946755407654,100,0.8333333333333333,periodogram,0.9947586229138944,0.9908244881571867,1.003270801257605,1.0,True
noisy_complete_cycles,1.0016666666666665,0.8921093749999999,5,0.9994890636130987,0.9990770911291028,0.9998350601618246,1.0108134621253375,0.8336106489184693,100,0.8333333333333333,periodogram,0.9949458195349844,0.9887275782624161,1.004302650356809,1.0,True
noisy_complete_cycles,1.0016666666666665,0.4069270833333333,5,0.9994887468182925,0.9990997918541733,0.9997961696373526,1.012252370214288,0.8336106489184693,100,0.8333333333333333,periodogram,0.9959861840243581,0.9878415764387537,1.0032787545716224,1.0,True
noisy_complete_cycles,1.0016666666666665,0.4225781249999999,5,0.9994745234813609,0.9990980601979194,0.9997516446080041,1.0260729312609123,0.8336106489184693,100,0.8333333333333333,periodogram,0.9971792942575731,0.9880559388250167,1.0006556510725217,1.0,True
noisy_complete_cycles,1.0016666666666665,0.5477864583333333,5,0.9994586667597944,0.9991091805282801,0.9998286342370083,1.0024404450180746,0.8336106489184693,100,0.8333333333333333,periodogram,0.9986721101173044,0.9864924512768883,1.001184975215701,1.0,True
